# HXA7241
# 2009-11-20

# (physical books only)

# miscellaneous
# art
# philosophy
# science
# software
# graphics
# fiction

# title | author[, author] | publisher | year (latest) | isbn (including '-'s)

Engineering Mathematics | Anthony Croft, Robert Davison, Martin Hargreaves | Addison Wesley | 1996 | 0-201-87744-9
Advanced Engineering Mathematics | Erwin Keyszig | Wiley | 1983 | 0-471-88941-5
Mathematical Techniques | D W Jordan, P Smith | Oxford | 2000 | 0-19-856461-9
Linear Algebra Through Geometry | Thomas Banchoff, John Wermer | Springer | 1992 | 0-387-97586-1
A First Course In Mechanics | Mary Lunn | Oxford | 1996 | 0-19-853433-7
Numerical Recipes In C | William H Press, Saul A Teukolsky, William T Vetterling, Brian P Flannery | Cambridge | 1995 | 0-521-43108-5
Mathematical Models | H M Cundy, A P Rollett | Oxford | 1976 | 0-19-914018-9
Elementary Fluid Dynamics | D J Acheson | Oxford | 2000 | 0-19-859679-0
Lattice-Gas Cellular Automata And Lattice Boltzman Models An Introduction | Dieter A Wolf-Gladrow | Springer | 2000 | 3-540-66973-6
Introduction To Numerical Analysis | J Stoer, R Bulirsch | Springer | 1993 | 0-387-97878-X
The Computational Beauty Of Nature | Gary William Flake | MIT Press | 1998 | 0-262-06200-3
The Beauty Of Fractals | H-O Peitgen, P H Richter | Springer | 1986 | 3-540-15851-0
The Science Of Fractal Images | Heinz-Otto Peitgen, Dietmar Saupe | Springer | 1988 | 0-387-96608-0
Computers And The Imagination | Clifford A Pickover | St Martin's Press | 1991 | 0-312-08343-2
Six Easy Pieces | Richard P Feynman | Penguin | 1998 | 0-14-027666-1
QED | Richard P Feynman | Penguin | 1990 | 0-140-1-25051
The Inventions Of Daedalus | David E H Jones | Freeman | 1982 | 0-7167-1413-2
The Holotropic Mind | Stanislav Grof, Hal Zina Bennett | Harper Collins | 1993 | 0-06-250659-5
DMT The Spirit Molecule | Rick Strassman | Park Street Press | 2001 | 0-89281-927-8
Memories Dreams Reflections | Carl Gustav Jung | Collins | 1979 | 0-00-642519-4
Psychology And Alchemy | Carl Gustav Jung | Routledge | 1993 | 0-415-03452-3

The C Programming Language | Brian W Kernighan, Dennis M Ritchie | Prentice Hall | 1988 | 0-13-110362-8
The C++ Programming Language | Bjarne Stroustrup | Addison Wesley | 1998 | 0-201-88954-4
The C++ Programming Language | Bjarne Stroustrup | Addison Wesley | 1991 | 0-201-53992-6
Effective C++ | Scott Meyers | Addison Wesley | 1998 | 0-201-92488-9
More Effective C++ | Scott Meyers | Addison Wesley | 1996 | 0-201-63371-X
Taligent's Guide To Designing Programs | Taligent | Addison Wesley | 1994 | 0-201-40888-0
